id,prices.amountMax,prices.amountMin,availability,condition,currency,Date,prices.isSale,brand,manufacturer,Product,primaryCategories,Email
AVphzgbJLJeJML43fA0o,105,105,Yes,New,USD,"2017-03-30T06:00:00Z,2017-03-10T22:00:00Z,2017-03-04T10:00:00Z,2017-03-03T14:00:00Z",FALSE,Sanus,,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's,Electronics,amaro@company.com
AVpgMuGwLJeJML43KY_c,69,65,In Stock,New,USD,2017-12-14T06:00:00Z,TRUE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,adunn@company.com
AVpgMuGwLJeJML43KY_c,69,69,In Stock,New,USD,2017-09-08T05:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,rharris@company.com
AVpgMuGwLJeJML43KY_c,70,70,Yes,New,USD,2017-10-10T05:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,gneal@company.com
AVpgMuGwLJeJML43KY_c,67,67,Yes,New,USD,2017-08-28T07:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,karnold@company.com
AVpgMuGwLJeJML43KY_c,66,66,In Stock,New,USD,2017-10-24T04:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,tsalazaar@company.com
AVpgMuGwLJeJML43KY_c,75,75,In Stock,New,USD,2017-08-15T15:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,bjoseph@company.com
AVpgMuGwLJeJML43KY_c,66,66,Yes,New,USD,2017-08-12T09:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,ewelch@company.com
AVpgMuGwLJeJML43KY_c,70,70,In Stock,New,USD,2017-09-14T21:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,greeves@company.com
AVpgMuGwLJeJML43KY_c,69,64,In Stock,New,USD,2018-01-21T08:00:00Z,TRUE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,gfleming@company.com
AVpgMuGwLJeJML43KY_c,70,70,TRUE,new,USD,2018-05-26T07:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,eburke@company.com
AVpgMuGwLJeJML43KY_c,65,65,In Stock,New,USD,2017-07-23T00:00:00Z,FALSE,Boytone,Boytone,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Electronics,kpatel@company.com
